customerID,tenure,MonthlyCharges,Churn_Probability,Cluster
7590-VHVEG,1,29.85,0.19,0
5575-GNVDE,34,56.95,0.01,2
3668-QPYBK,2,53.85,0.84,0
7795-CFOCW,45,42.3,0.01,2
9237-HQITU,2,70.7,0.9,3
9305-CDSKC,8,99.65,1.0,3
1452-KIOVK,22,89.1,0.16,3
6713-OKOMC,10,29.75,0.09,0
7892-POOKP,28,104.8,0.59,3
6388-TABGU,62,56.15,0.0,2
9763-GRSKD,13,49.95,0.01,0
7469-LKBCI,16,18.95,0.0,0
8091-TTVAX,58,100.35,0.08,1
0280-XJGEX,49,103.7,0.83,1
5129-JLPIS,25,105.5,0.44,3
3655-SNQYZ,69,113.25,0.01,1
8191-XWSZG,52,20.65,0.0,2
9959-WOFKT,71,106.7,0.1,1
4190-MFLUW,10,55.2,0.76,0
4183-MYFRB,21,90.05,0.48,3
8779-QRDMV,1,39.65,0.99,0
1680-VDCWW,12,19.8,0.03,0
1066-JKSGK,1,20.15,0.985,0
3638-WEABW,58,59.9,0.01,2
6322-HRPFA,49,59.6,0.02,2
6865-JZNKO,30,55.3,0.06,3
6467-CHFZW,47,99.35,0.73,1
8665-UTDHZ,1,30.2,0.81,0
5248-YGIJN,72,90.25,0.0,1
8773-HHUOZ,17,64.7,0.72,3
3841-NFECX,71,96.35,0.0,1
4929-XIHVW,2,95.5,0.72,3
6827-IEAUQ,27,66.15,0.03,3
7310-EGVHZ,1,20.2,0.05333333333333333,0
3413-BMNZE,1,45.25,0.26,0
6234-RAAPL,72,99.9,0.04,1
6047-YHPVI,5,69.7,0.82,3
6572-ADKRS,46,74.8,0.29,1
5380-WJKOV,34,106.35,0.93,1
8168-UQWWF,11,97.85,0.96,3
8865-TNMNX,10,49.55,0.04,0
9489-DEDVP,70,69.2,0.02,1
9867-JCZSP,17,20.75,0.01,0
4671-VJLCL,63,79.85,0.0,1
4080-IIARD,13,76.2,0.09,3
3714-NTNFO,49,84.5,0.63,1
5948-UJZLF,2,49.25,0.14,0
7760-OYPDY,2,80.65,0.92,3
7639-LIAYI,52,79.75,0.01,1
2954-PIBKO,69,64.15,0.03,1
8012-SOUDQ,43,90.25,0.55,1
9420-LOJKX,15,99.1,0.55,3
6575-SUVOI,25,69.5,0.11,3
7495-OOKFY,8,80.65,0.79,3
4667-QONEA,60,74.85,0.03,1
1658-BYGOY,18,95.45,0.85,3
8769-KKTPH,63,99.65,0.06,1
5067-XJQFU,66,108.45,0.08,1
3957-SQXML,34,24.95,0.0,2
5954-BDFSG,72,107.5,0.19,1
0434-CSFON,47,100.5,0.22,1
1215-FIGMP,60,89.9,0.49,1
0526-SXDJP,72,42.1,0.01,2
0557-ASKVU,18,54.4,0.02,0
5698-BQJOH,9,94.4,0.94,3
5122-CYFXA,3,75.3,0.34,3
8627-ZYGSZ,47,78.9,0.05,1
3410-YOQBQ,31,79.2,0.01,3
3170-NMYVV,50,20.15,0.0,2
7410-OIEDU,10,79.85,0.17,3
2273-QCKXA,1,49.05,0.11,0
0731-EBJQB,52,20.4,0.0,2
1891-QRQSA,64,111.6,0.07,1
8028-PNXHQ,62,24.25,0.0,2
5630-AHZIL,3,64.5,0.14,3
2673-CXQEU,56,110.5,0.13,1
6416-JNVRK,46,55.65,0.0,2
5590-ZSKRV,8,54.65,0.06,0
0191-ZHSKZ,30,74.75,0.11,3
3887-PBQAO,45,25.9,0.01,2
5919-TMRGD,1,79.35,0.8,3
8108-UXRQN,11,50.55,0.19,0
9191-MYQKX,7,75.15,0.79,3
9919-YLNNG,42,103.8,0.06,1
0318-ZOPWS,49,20.15,0.0,2
4445-ZJNMU,9,99.3,0.24,3
4808-YNLEU,35,62.15,0.01,3
1862-QRWPE,48,20.65,0.01,2
2796-NNUFI,46,19.95,0.0,2
3016-KSVCP,29,33.75,0.17,0
4767-HZZHQ,30,82.05,0.11,3
2424-WVHPL,1,74.7,0.3,3
7233-PAHHL,66,84.0,0.01,1
6067-NGCEU,65,111.05,0.12,1
9848-JQJTX,72,100.9,0.07,1
8637-XJIVR,12,78.95,0.53,3
9803-FTJCG,71,66.85,0.02,1
0278-YXOOG,5,21.05,0.69,0
3212-KXOCR,52,21.0,0.0,2
4598-XLKNJ,25,98.5,0.84,3
6380-ARCEH,1,20.2,0.31783333333333313,0
3679-XASPY,1,19.45,0.22,0
7123-WQUHX,38,95.0,0.03,1
5386-THSLQ,66,45.55,0.0,2
3192-NQECA,68,110.0,0.74,1
6180-YBIQI,5,24.3,0.06,0
6728-DKUCO,72,104.15,0.1,1
9750-BOOHV,32,30.15,0.0,0
8597-CWYHH,43,94.35,0.08,1
2848-YXSMW,72,19.4,0.0,2
0486-HECZI,55,96.75,0.72,1
4549-ZDQYY,52,57.95,0.05,2
5712-AHQNN,43,91.65,0.09,1
4846-WHAFZ,37,76.5,0.86,3
5256-SKJGO,64,54.6,0.02,2
3071-VBYPO,3,89.85,0.1,3
9560-BBZXK,36,31.05,0.0,2
5299-RULOA,10,100.25,0.9,3
8402-OOOHJ,41,20.65,0.0,2
9445-ZUEQE,27,85.2,0.04,3
1091-SOZGA,56,99.8,0.09,1
2928-HLDBA,6,20.7,0.06,0
0404-SWRVG,3,74.4,0.84,3
6497-TILVL,7,50.7,0.05,0
7219-TLZHO,4,20.85,0.01,0
4622-YNKIJ,33,88.95,0.08,3
4412-YLTKF,27,78.05,0.77,3
6734-PSBAW,72,23.55,0.0,2
3930-ZGWVE,1,19.75,0.5553333333333331,0
2639-UGMAZ,71,56.45,0.02,2
2876-GZYZC,13,85.95,0.3,3
6207-WIOLX,25,58.6,0.65,3
8587-XYZSF,67,50.55,0.08,2
3091-FYHKI,1,35.45,1.0,0
2372-HWUHI,2,44.35,0.86,0
7799-LGRDP,43,25.7,0.01,2
7850-VWJUU,23,75.0,0.1,3
3774-VBNXY,64,20.2,0.0,2
6217-KDYWC,57,19.6,0.02,2
0390-DCFDQ,1,70.45,0.84,3
3146-MSEGF,72,88.05,0.0,1
4080-OGPJL,8,71.15,0.78,3
1095-WGNGG,61,101.05,0.1,1
2636-SJDOU,64,84.3,0.05,1
1131-QQZEB,71,23.95,0.0,2
5716-EZXZN,65,99.05,0.02,1
6837-BJYDQ,3,19.6,0.01,0
2135-RXIHG,1,45.65,0.97,0
6440-DKQGE,30,64.5,0.02,3
3466-BYAVD,15,69.5,0.06,3
3780-YVMFA,8,68.55,0.08,3
3874-EQOEP,7,95.0,0.84,3
1679-JRFBR,70,108.15,0.04,1
9073-ZZIAY,62,86.1,0.0,1
3077-RSNTJ,6,19.7,0.01,0
6551-GNYDG,14,80.9,0.16,3
9167-APMXZ,22,84.15,0.45,3
2749-CTKAJ,22,20.15,0.0,0
6371-NZYEG,16,64.25,0.03,3
7554-NEWDD,10,25.7,0.02,0
8992-VONJD,13,56.0,0.1,0
0867-MKZVY,20,82.4,0.77,3
4482-EWFMI,2,69.7,0.3233333333333333,3
4648-YPBTM,53,73.9,0.01,1
2907-ILJBN,11,20.6,0.02,0
6345-FZOQH,69,19.9,0.0,2
3376-BMGFE,4,70.9,0.96,3
5997-OPVFA,72,89.05,0.0,1
3445-HXXGF,58,45.3,0.46,2
1159-WFSGR,16,20.4,0.02,0
7654-YWJUF,43,84.25,0.03,1
1875-QIVME,2,104.4,0.89,3
6727-IOTLZ,14,81.95,0.05,3
0691-JVSYA,53,94.85,0.71,1
5918-VUKWP,32,20.55,0.01,0
1744-JHKYS,34,24.7,0.0,2
2656-FMOKZ,15,74.45,0.84,3
2070-FNEXE,7,76.45,0.33,3
5947-SGKCL,15,105.35,0.36,3
3712-PKXZA,61,20.55,0.02,2
6317-YPKDH,1,29.95,0.72,0
6582-OIVSP,1,45.3,0.13,0
9367-WXLCH,8,84.5,0.83,3
5524-KHNJP,33,74.75,0.0,3
1918-ZBFQJ,13,79.25,0.85,3
1024-GUALD,1,24.8,0.68,0
4827-USJHP,20,51.8,0.07,0
8167-GJLRN,3,30.4,0.15,0
0956-SYCWG,13,19.65,0.02,0
8017-UVSZU,40,56.6,0.03,2
7100-FQPRV,43,71.9,0.01,2
2472-OVKUP,6,91.0,0.9,3
2984-RGEYA,69,19.75,0.0,2
9680-NIAUV,72,109.7,0.0,1
2146-EGVDT,59,19.3,0.0,2
2604-IJPDU,20,96.55,0.14,3
9178-JHUVJ,24,24.1,0.01,0
6168-YBYNP,59,111.35,0.16,1
7255-SSFBC,72,112.25,0.1,1
3645-DEYGF,1,20.75,0.145,0
9323-HGFWY,27,101.9,0.17,3
8544-GOQSH,14,80.05,0.15,3
3363-DTIVD,71,105.55,0.05,1
7018-WBJNK,13,78.3,0.23,3
9142-KZXOP,44,68.85,0.12,2
7674-YTAFD,33,79.95,0.03,3
6348-SNFUS,72,55.45,0.0,2
1285-OKIPP,1,79.9,0.99,3
7825-ECJRF,19,106.6,0.39,3
1347-KTTTA,64,102.45,0.05,1
7841-TZDMQ,2,46.0,0.52,0
4195-NZGTA,1,25.25,0.31,0
7157-SMCFK,61,19.75,0.03,2
4709-LKHYG,29,20.0,0.0,0
2504-DSHIH,23,86.8,0.33,3
0699-NDKJM,57,58.75,0.11,2
9286-BHDQG,72,45.25,0.02,2
0230-WEQUW,66,56.6,0.03,2
2040-LDIWQ,65,84.2,0.0,1
6496-JDSSB,8,80.0,0.26,3
9408-SSNVZ,4,70.15,0.75,3
4443-EMBNA,71,24.75,0.0,2
6469-MRVET,1,20.2,0.12,0
0742-MOABM,4,50.05,0.7,0
5961-VUSRV,12,19.35,0.04,0
6778-JFCMK,24,50.6,0.04,0
